participant_id	age	sex	group	fmri_id
sub-101	29	F	Y	sub-1u6mnk
sub-102	23	M	Y	sub-m4nkz5
sub-103	24	F	Y	sub-w1kt8h
sub-104	33	F	Y	sub-rnyu5g
sub-105	28	F	Y	sub-f2t7hh
sub-106	33	F	Y	sub-k5m5h6
sub-107	24	M	Y	sub-q3w2rh
sub-108	22	M	Y	sub-yuzpe8
sub-109	26	M	Y	sub-yqldm7
sub-110	20	M	Y	sub-qf0y3t
sub-111	31	M	Y	sub-dfdryk
sub-112	22	F	Y	sub-45yajw
sub-113	34	M	Y	sub-l7z4xx
sub-114	24	F	Y	sub-y24cge
sub-115	20	F	Y	sub-r9zppd
sub-116	24	F	Y	sub-q7mf0v
sub-117	22	M	Y	sub-nxe874
sub-118	20	M	Y	sub-dwp973
sub-119	20	F	Y	sub-ad4phe
sub-120	33	M	Y	sub-0zax6m
sub-121	23	M	Y	sub-1n6qlc
sub-201	70	F	O	sub-rkdvjv
sub-202	68	F	O	sub-dzxv3w
sub-203	62	F	O	sub-d0zcpd
sub-204	74	F	O	sub-9hcfk5
sub-205	74	F	O	sub-1r4he7
sub-206	66	M	O	sub-r3cv10
sub-207	69	F	O	sub-87akcw
sub-208	70	M	O	sub-llmkdl
sub-209	60	M	O	sub-a77lc6
sub-210	63	M	O	sub-k624yv
sub-211	71	M	O	sub-0n9ge8
sub-212	62	F	O	sub-34zz5w
sub-213	70	F	O	sub-pj82j2
sub-214	62	F	O	sub-vdkqh0
sub-215	71	M	O	sub-xl2dyu
sub-216	68	F	O	sub-hgagr4
sub-217	70	F	O	sub-9raer0
sub-218	68	M	O	sub-zng36c
sub-219	73	M	O	sub-8pakuj
sub-220	60	M	O	sub-zvc7dv
sub-221	64	M	O	sub-fj0pnz
sub-222	68	M	O	sub-fgph3h
